STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TRANSFORMATION,Transformation,ADJUSTMENT,Adjustment,SEX,Sex,AGE,Age,ACTIVITY,Economic activity,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Employed population by age groups,I,BEL,Belgium,EMP,Employment,PS,Persons,_Z,Not applicable,Y,Calendar and seasonally adjusted,_T,Total,Y15T64,From 15 to 64 years,_Z,Not applicable,Q,Quarterly,2023-Q2,,4914.913,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Employed population by age groups,I,BEL,Belgium,EMP,Employment,PS,Persons,_Z,Not applicable,Y,Calendar and seasonally adjusted,_T,Total,Y15T64,From 15 to 64 years,_Z,Not applicable,Q,Quarterly,2023-Q1,,4957.009,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Employed population by age groups,I,CHE,Switzerland,EMP,Employment,PS,Persons,_Z,Not applicable,Y,Calendar and seasonally adjusted,_T,Total,Y15T64,From 15 to 64 years,_Z,Not applicable,Q,Quarterly,2024-Q1,,4656.458,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Employed population by age groups,I,CHE,Switzerland,EMP,Employment,PS,Persons,_Z,Not applicable,Y,Calendar and seasonally adjusted,_T,Total,Y15T64,From 15 to 64 years,_Z,Not applicable,Q,Quarterly,2023-Q4,,4680.554,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Employed population by age groups,I,CHL,Chile,EMP,Employment,PS,Persons,_Z,Not applicable,Y,Calendar and seasonally adjusted,_T,Total,Y15T64,From 15 to 64 years,_Z,Not applicable,Q,Quarterly,2023-Q2,,8574.624,,,,E,Estimated value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Employed population by age groups,I,CHL,Chile,EMP,Employment,PS,Persons,_Z,Not applicable,Y,Calendar and seasonally adjusted,_T,Total,Y15T64,From 15 to 64 years,_Z,Not applicable,Q,Quarterly,2023-Q1,,8448.107,,,,E,Estimated value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Employed population by age groups,I,CHL,Chile,EMP,Employment,PS,Persons,_Z,Not applicable,Y,Calendar and seasonally adjusted,_T,Total,Y15T64,From 15 to 64 years,_Z,Not applicable,Q,Quarterly,2024-Q3,,8737.72,,,,E,Estimated value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Employed population by age groups,I,CHL,Chile,EMP,Employment,PS,Persons,_Z,Not applicable,Y,Calendar and seasonally adjusted,_T,Total,Y15T64,From 15 to 64 years,_Z,Not applicable,Q,Quarterly,2024-Q2,,8837.293,,,,E,Estimated value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Employed population by age groups,I,CHL,Chile,EMP,Employment,PS,Persons,_Z,Not applicable,Y,Calendar and seasonally adjusted,_T,Total,Y15T64,From 15 to 64 years,_Z,Not applicable,Q,Quarterly,2024-Q1,,8707.742,,,,E,Estimated value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Employed population by age groups,I,CHL,Chile,EMP,Employment,PS,Persons,_Z,Not applicable,Y,Calendar and seasonally adjusted,_T,Total,Y15T64,From 15 to 64 years,_Z,Not applicable,Q,Quarterly,2023-Q4,,8584.154,,,,E,Estimated value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Employed population by age groups,I,PRT,Portugal,EMP,Employment,PS,Persons,_Z,Not applicable,Y,Calendar and seasonally adjusted,_T,Total,Y15T64,From 15 to 64 years,_Z,Not applicable,Q,Quarterly,2024-Q1,,4839.449,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Employed population by age groups,I,PRT,Portugal,EMP,Employment,PS,Persons,_Z,Not applicable,Y,Calendar and seasonally adjusted,_T,Total,Y15T64,From 15 to 64 years,_Z,Not applicable,Q,Quarterly,2023-Q4,,4857.056,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Employed population by age groups,I,PRT,Portugal,EMP,Employment,PS,Persons,_Z,Not applicable,Y,Calendar and seasonally adjusted,_T,Total,Y15T64,From 15 to 64 years,_Z,Not applicable,Q,Quarterly,2023-Q3,,4836.009,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Employed population by age groups,I,PRT,Portugal,EMP,Employment,PS,Persons,_Z,Not applicable,Y,Calendar and seasonally adjusted,_T,Total,Y15T64,From 15 to 64 years,_Z,Not applicable,Q,Quarterly,2023-Q2,,4828.908,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Employed population by age groups,I,PRT,Portugal,EMP,Employment,PS,Persons,_Z,Not applicable,Y,Calendar and seasonally adjusted,_T,Total,Y15T64,From 15 to 64 years,_Z,Not applicable,Q,Quarterly,2023-Q1,,4770.227,,,,A,Normal value,3,Thousands,0,Zero
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_Q(1.0),Employed population by age groups,I,EU27_2020,European Union (27 countries from 01/02/2020),EMP,Employment,PS,Persons,_Z,Not applicable,Y,Calendar and seasonally adjusted,_T,Total,Y15T64,From 15 to 64 years,_Z,Not applicable,Q,Quarterly,2023-Q2,,199535.7,,,,A,Normal value,3,Thousands,0,Zero
